chips,time
5.0,
4.95,2016-04-15 06:39:18
5.02,2016-04-15 06:40:01
5.02,2016-04-15 06:40:08
5.02,2016-04-15 06:40:19
5.0,2016-04-15 06:40:25
5.0,2016-04-15 06:40:35
4.95,2016-04-15 06:40:53
4.95,2016-04-15 06:41:00
4.93,2016-04-15 06:41:07
4.93,2016-04-15 06:41:18
5.0,2016-04-15 06:41:39
4.95,2016-04-15 06:41:52
4.93,2016-04-15 06:42:00
5.1,2016-04-15 06:42:40
5.1,2016-04-15 06:42:48
5.1,2016-04-15 06:42:54
7.57,2016-04-15 06:43:59
7.52,2016-04-15 06:44:18
7.52,2016-04-15 06:44:27
7.37,2016-04-15 06:44:53
7.37,2016-04-15 06:45:01
7.37,2016-04-15 06:45:09
7.37,2016-04-15 06:45:14
7.37,2016-04-15 06:45:21
7.37,2016-04-15 06:45:30
7.32,2016-04-15 06:45:45
7.17,2016-04-15 06:46:24
7.17,2016-04-15 06:46:29
7.15,2016-04-15 06:46:36
7.15,2016-04-15 06:46:44
7.15,2016-04-15 06:46:56
7.1,2016-04-15 06:47:24
7.1,2016-04-15 06:47:31
7.1,2016-04-15 06:47:39
8.72,2016-04-15 06:48:42
8.72,2016-04-15 06:48:50
8.72,2016-04-15 06:48:55
8.72,2016-04-15 06:49:05
8.67,2016-04-15 06:49:20
8.67,2016-04-15 06:49:30
8.67,2016-04-15 06:49:39
8.65,2016-04-15 06:49:45
8.65,2016-04-15 06:49:51
8.05,2016-04-15 06:51:29
8.0,2016-04-15 06:51:42
8.0,2016-04-15 06:51:58
8.0,2016-04-15 06:52:08
7.98,2016-04-15 06:52:20
7.98,2016-04-15 06:52:33
7.93,2016-04-15 06:53:04
7.93,2016-04-15 06:53:10
8.0,2016-04-15 06:53:43
7.98,2016-04-15 06:54:01
7.98,2016-04-15 06:54:19
7.96,2016-04-15 06:54:30
7.91,2016-04-15 06:54:51
7.89,2016-04-15 06:54:57
7.89,2016-04-15 06:55:04
7.89,2016-04-15 06:55:12
7.84,2016-04-15 06:55:28
7.82,2016-04-15 06:55:36
7.82,2016-04-15 06:55:45
7.82,2016-04-15 06:55:54
7.8,2016-04-15 06:55:59
7.8,2016-04-15 06:56:11
7.75,2016-04-15 06:56:27
7.75,2016-04-15 06:56:33
7.73,2016-04-15 06:56:49
7.73,2016-04-15 06:56:58
7.71,2016-04-15 06:57:12
7.56,2016-04-15 06:57:44
7.56,2016-04-15 06:57:53
7.56,2016-04-15 06:58:08
7.41,2016-04-15 06:58:31
7.41,2016-04-15 06:58:41
7.39,2016-04-15 06:58:53
7.41,2016-04-15 06:59:16
7.41,2016-04-15 06:59:25
6.57,2016-04-15 07:00:16
5.55,2016-04-15 07:01:07
5.62,2016-04-15 07:01:27
5.98,2016-04-15 07:02:04
5.93,2016-04-15 07:02:22
5.93,2016-04-15 07:02:30
5.93,2016-04-15 07:02:36
5.93,2016-04-15 07:02:43
5.91,2016-04-15 07:02:53
5.91,2016-04-15 07:03:01
5.86,2016-04-15 07:03:21
5.93,2016-04-15 07:03:40
5.93,2016-04-15 07:03:54
5.91,2016-04-15 07:04:03
6.05,2016-04-15 07:05:21
9.47,2016-04-15 07:06:40
9.42,2016-04-15 07:07:00
9.42,2016-04-15 07:07:16
9.42,2016-04-15 07:07:24
9.42,2016-04-15 07:07:34
9.42,2016-04-15 07:07:44
9.37,2016-04-15 07:08:07
9.35,2016-04-15 07:08:15
9.35,2016-04-15 07:08:19
9.35,2016-04-15 07:08:31
9.35,2016-04-15 07:08:35
9.3,2016-04-15 07:08:57
9.3,2016-04-15 07:09:08
8.87,2016-04-15 07:09:51
8.82,2016-04-15 07:10:15
8.82,2016-04-15 07:10:28
8.82,2016-04-15 07:10:39
8.8,2016-04-15 07:10:48
8.78,2016-04-15 07:10:54
8.78,2016-04-15 07:10:58
8.78,2016-04-15 07:11:08
8.73,2016-04-15 07:11:31
8.73,2016-04-15 07:11:35
8.73,2016-04-15 07:11:43
8.73,2016-04-15 07:11:55
8.73,2016-04-15 07:12:09
8.73,2016-04-15 07:12:24
8.71,2016-04-15 07:12:39
8.66,2016-04-15 07:13:00
8.66,2016-04-15 07:13:14
8.66,2016-04-15 07:13:25
8.66,2016-04-15 07:13:38
8.66,2016-04-15 07:13:47
8.66,2016-04-15 07:13:57
8.61,2016-04-15 07:14:16
8.61,2016-04-15 07:14:25
8.59,2016-04-15 07:14:34
8.59,2016-04-15 07:14:39
8.59,2016-04-15 07:14:49
8.59,2016-04-15 07:15:00
8.59,2016-04-15 07:15:10
8.54,2016-04-15 07:15:28
8.54,2016-04-15 07:15:38
8.54,2016-04-15 07:15:54
8.52,2016-04-15 07:16:19
8.52,2016-04-15 07:16:28
8.52,2016-04-15 07:16:43
8.5,2016-04-15 07:16:57
8.45,2016-04-15 07:17:25
8.45,2016-04-15 07:17:50
8.45,2016-04-15 07:18:04
8.45,2016-04-15 07:18:10
8.52,2016-04-15 07:18:35
9.26,2016-04-15 07:19:35
9.37,2016-04-15 07:20:14
9.37,2016-04-15 07:20:26
9.35,2016-04-15 07:20:37
9.3,2016-04-15 07:21:00
9.3,2016-04-15 07:21:10
9.83,2016-04-15 07:22:03
9.83,2016-04-15 07:22:11
9.83,2016-04-15 07:22:31
9.83,2016-04-15 07:22:43
9.78,2016-04-15 07:23:18
9.76,2016-04-15 07:23:32
9.74,2016-04-15 07:23:49
9.74,2016-04-15 07:24:02
9.74,2016-04-15 07:24:11
9.74,2016-04-15 07:24:19
9.81,2016-04-15 07:25:03
10.18,2016-04-15 07:25:54
10.18,2016-04-15 07:25:58
10.16,2016-04-15 07:26:17
10.16,2016-04-15 07:26:24
10.16,2016-04-15 07:26:38
10.16,2016-04-15 07:26:46
10.11,2016-04-15 07:27:04
10.09,2016-04-15 07:27:12
10.09,2016-04-15 07:27:19
10.58,2016-04-15 07:28:29
9.97,2016-04-15 07:29:24
9.95,2016-04-15 07:29:29
9.95,2016-04-15 07:29:41
9.9,2016-04-15 07:29:50
9.9,2016-04-15 07:30:01
9.9,2016-04-15 07:30:12
9.97,2016-04-15 07:30:36
9.97,2016-04-15 07:30:43
9.97,2016-04-15 07:30:56
9.92,2016-04-15 07:31:12
9.99,2016-04-15 07:31:35
9.99,2016-04-15 07:31:45
9.99,2016-04-15 07:31:52
9.18,2016-04-15 07:32:46
9.18,2016-04-15 07:32:54
9.13,2016-04-15 07:33:05
9.13,2016-04-15 07:33:11
9.11,2016-04-15 07:33:15
9.11,2016-04-15 07:33:27
9.11,2016-04-15 07:33:36
9.09,2016-04-15 07:33:43
9.09,2016-04-15 07:33:53
9.11,2016-04-15 07:34:07
9.11,2016-04-15 07:34:18
9.11,2016-04-15 07:34:25
8.94,2016-04-15 07:35:11
8.92,2016-04-15 07:35:18
8.92,2016-04-15 07:35:26
8.92,2016-04-15 07:35:34
8.92,2016-04-15 07:35:39
9.2,2016-04-15 07:36:52
9.68,2016-04-15 07:37:43
