chips,time
5.0,
4.95,2016-04-16 07:59:57
4.95,2016-04-16 08:00:04
4.95,2016-04-16 07:59:57
4.95,2016-04-16 08:00:04
4.93,2016-04-16 08:00:21
4.93,2016-04-16 08:00:26
4.91,2016-04-16 08:00:34
4.91,2016-04-16 08:00:42
9.43,2016-04-16 08:01:56
9.5,2016-04-16 08:02:16
9.5,2016-04-16 08:02:29
9.5,2016-04-16 08:02:38
9.5,2016-04-16 08:02:46
9.5,2016-04-16 08:02:52
9.5,2016-04-16 08:03:01
9.45,2016-04-16 08:03:28
10.65,2016-04-16 08:04:35
10.72,2016-04-16 08:05:35
10.72,2016-04-16 08:05:42
9.25,2016-04-16 08:06:46
9.2,2016-04-16 08:07:09
9.2,2016-04-16 08:07:20
9.2,2016-04-16 08:07:31
9.2,2016-04-16 08:07:42
9.2,2016-04-16 08:07:49
9.2,2016-04-16 08:08:02
9.2,2016-04-16 08:08:07
9.15,2016-04-16 08:08:25
9.22,2016-04-16 08:08:49
9.22,2016-04-16 08:09:02
9.22,2016-04-16 08:09:09
9.07,2016-04-16 08:09:40
9.07,2016-04-16 08:09:46
9.07,2016-04-16 08:10:01
9.02,2016-04-16 08:10:23
9.0,2016-04-16 08:10:31
8.85,2016-04-16 08:11:07
8.8,2016-04-16 08:11:42
7.36,2016-04-16 08:12:34
7.36,2016-04-16 08:12:39
7.36,2016-04-16 08:12:49
7.31,2016-04-16 08:13:04
7.31,2016-04-16 08:13:12
7.31,2016-04-16 08:13:20
7.31,2016-04-16 08:13:33
7.31,2016-04-16 08:13:47
7.26,2016-04-16 08:14:06
7.43,2016-04-16 08:14:28
7.41,2016-04-16 08:14:49
7.41,2016-04-16 08:15:04
7.41,2016-04-16 08:15:11
7.39,2016-04-16 08:15:17
7.41,2016-04-16 08:15:54
7.41,2016-04-16 08:17:44
6.78,2016-04-16 08:19:06
6.73,2016-04-16 08:19:29
6.8,2016-04-16 08:20:07
6.8,2016-04-16 08:20:13
6.78,2016-04-16 08:20:31
6.78,2016-04-16 08:20:40
6.78,2016-04-16 08:20:46
6.78,2016-04-16 08:20:51
7.19,2016-04-16 08:21:22
7.35,2016-04-16 08:22:12
7.33,2016-04-16 08:22:26
7.33,2016-04-16 08:22:31
7.31,2016-04-16 08:22:47
7.26,2016-04-16 08:23:18
7.26,2016-04-16 08:23:29
7.24,2016-04-16 08:23:37
7.22,2016-04-16 08:23:44
7.22,2016-04-16 08:23:48
6.6,2016-04-16 08:24:43
6.6,2016-04-16 08:24:49
6.6,2016-04-16 08:24:54
6.6,2016-04-16 08:24:59
6.58,2016-04-16 08:25:06
6.58,2016-04-16 08:25:11
6.58,2016-04-16 08:25:16
6.53,2016-04-16 08:25:49
6.53,2016-04-16 08:25:59
6.51,2016-04-16 08:26:04
6.51,2016-04-16 08:26:08
6.51,2016-04-16 08:26:21
6.51,2016-04-16 08:26:32
6.49,2016-04-16 08:26:39
6.44,2016-04-16 08:27:17
6.44,2016-04-16 08:27:25
6.44,2016-04-16 08:27:41
6.29,2016-04-16 08:28:06
6.27,2016-04-16 08:28:14
6.27,2016-04-16 08:28:23
7.05,2016-04-16 08:29:21
7.0,2016-04-16 08:29:59
6.98,2016-04-16 08:30:09
6.96,2016-04-16 08:30:15
6.96,2016-04-16 08:30:25
6.96,2016-04-16 08:30:33
6.96,2016-04-16 08:30:38
6.91,2016-04-16 08:31:00
6.91,2016-04-16 08:31:18
6.91,2016-04-16 08:31:25
6.91,2016-04-16 08:31:32
7.19,2016-04-16 08:32:24
7.17,2016-04-16 08:32:42
7.12,2016-04-16 08:32:56
7.19,2016-04-16 08:33:15
7.19,2016-04-16 08:33:21
7.17,2016-04-16 08:33:27
7.15,2016-04-16 08:33:35
7.15,2016-04-16 08:33:40
7.15,2016-04-16 08:33:50
7.1,2016-04-16 08:34:07
7.1,2016-04-16 08:34:15
7.1,2016-04-16 08:34:21
7.1,2016-04-16 08:34:42
7.1,2016-04-16 08:34:51
7.05,2016-04-16 08:35:15
7.69,2016-04-16 08:36:38
7.67,2016-04-16 08:36:46
7.67,2016-04-16 08:36:51
7.67,2016-04-16 08:36:57
7.67,2016-04-16 08:37:21
6.94,2016-04-16 08:38:47
6.94,2016-04-16 08:39:00
6.94,2016-04-16 08:39:09
6.94,2016-04-16 08:39:20
6.89,2016-04-16 08:39:47
6.89,2016-04-16 08:39:54
6.87,2016-04-16 08:40:00
6.87,2016-04-16 08:40:07
6.72,2016-04-16 08:40:47
6.7,2016-04-16 08:40:54
6.7,2016-04-16 08:41:08
6.7,2016-04-16 08:41:20
6.68,2016-04-16 08:41:27
6.68,2016-04-16 08:41:36
6.89,2016-04-16 08:42:32
6.68,2016-04-16 08:41:36
