chips,time
5.0,
4.95,2016-04-16 04:57:32
4.95,2016-04-16 04:57:41
4.95,2016-04-16 04:57:51
4.95,2016-04-16 04:57:57
4.95,2016-04-16 04:58:08
4.95,2016-04-16 04:58:13
4.97,2016-04-16 04:58:30
4.97,2016-04-16 04:58:37
4.97,2016-04-16 04:58:43
5.08,2016-04-16 04:59:23
4.65,2016-04-16 05:00:07
4.65,2016-04-16 05:00:14
4.63,2016-04-16 05:00:34
4.63,2016-04-16 05:00:45
4.58,2016-04-16 05:01:03
4.65,2016-04-16 05:01:29
4.65,2016-04-16 05:01:34
4.65,2016-04-16 05:01:42
4.63,2016-04-16 05:01:47
4.58,2016-04-16 05:02:18
3.53,2016-04-16 05:03:54
3.38,2016-04-16 05:04:27
3.38,2016-04-16 05:04:38
3.38,2016-04-16 05:04:44
3.38,2016-04-16 05:05:01
3.38,2016-04-16 05:05:08
3.38,2016-04-16 05:05:15
3.33,2016-04-16 05:05:32
3.31,2016-04-16 05:05:55
3.83,2016-04-16 05:06:29
3.83,2016-04-16 05:06:34
3.83,2016-04-16 05:06:43
3.85,2016-04-16 05:06:57
3.83,2016-04-16 05:07:11
3.83,2016-04-16 05:07:20
3.83,2016-04-16 05:07:27
3.83,2016-04-16 05:07:34
3.83,2016-04-16 05:07:39
3.94,2016-04-16 05:08:18
3.92,2016-04-16 05:08:34
5.66,2016-04-16 05:09:35
5.66,2016-04-16 05:09:56
5.66,2016-04-16 05:10:03
5.66,2016-04-16 05:10:11
5.64,2016-04-16 05:10:27
5.59,2016-04-16 05:10:45
5.59,2016-04-16 05:10:53
5.59,2016-04-16 05:11:04
5.59,2016-04-16 05:11:09
5.59,2016-04-16 05:11:15
5.7,2016-04-16 05:12:08
5.7,2016-04-16 05:12:14
5.7,2016-04-16 05:12:29
5.7,2016-04-16 05:12:46
5.77,2016-04-16 05:13:07
5.72,2016-04-16 05:13:28
5.72,2016-04-16 05:13:44
