chips,time
5.0,
4.95,2016-04-18 21:17:58
4.93,2016-04-18 21:18:03
5.78,2016-04-18 21:18:52
5.76,2016-04-18 21:18:57
5.74,2016-04-18 21:19:01
5.81,2016-04-18 21:19:24
5.81,2016-04-18 21:19:32
5.76,2016-04-18 21:19:50
4.11,2016-04-18 21:20:36
4.11,2016-04-18 21:20:40
4.11,2016-04-18 21:20:45
4.11,2016-04-18 21:20:50
4.09,2016-04-18 21:20:54
6.42,2016-04-18 21:21:30
6.37,2016-04-18 21:21:44
6.35,2016-04-18 21:21:59
6.35,2016-04-18 21:22:03
6.33,2016-04-18 21:22:09
6.33,2016-04-18 21:22:15
6.33,2016-04-18 21:22:20
6.28,2016-04-18 21:22:36
6.26,2016-04-18 21:22:43
6.26,2016-04-18 21:22:51
5.89,2016-04-18 21:23:41
5.89,2016-04-18 21:23:46
5.89,2016-04-18 21:23:51
5.84,2016-04-18 21:24:01
5.84,2016-04-18 21:24:18
5.84,2016-04-18 21:24:24
5.84,2016-04-18 21:24:29
5.84,2016-04-18 21:24:35
5.74,2016-04-18 21:25:06
5.72,2016-04-18 21:25:14
5.72,2016-04-18 21:25:18
5.72,2016-04-18 21:25:26
5.62,2016-04-18 21:26:09
5.6,2016-04-18 21:26:14
5.58,2016-04-18 21:26:19
5.58,2016-04-18 21:26:25
5.53,2016-04-18 21:26:40
5.6,2016-04-18 21:26:54
