chips,time
5.0,
4.95,2016-04-15 06:29:47
2.7,2016-04-15 06:30:28
2.7,2016-04-15 06:30:43
2.53,2016-04-15 06:31:21
2.51,2016-04-15 06:31:29
2.79,2016-04-15 06:32:13
3.9,2016-04-15 06:32:53
3.85,2016-04-15 06:33:19
3.85,2016-04-15 06:33:27
3.85,2016-04-15 06:33:37
3.85,2016-04-15 06:33:43
3.85,2016-04-15 06:33:52
3.85,2016-04-15 06:33:56
3.85,2016-04-15 06:34:04
4.04,2016-04-15 06:34:42
4.02,2016-04-15 06:34:53
4.0,2016-04-15 06:35:01
4.0,2016-04-15 06:35:14
3.95,2016-04-15 06:35:56
3.93,2016-04-15 06:36:02
3.93,2016-04-15 06:36:12
3.93,2016-04-15 06:36:19
3.91,2016-04-15 06:36:31
3.86,2016-04-15 06:37:07
3.86,2016-04-15 06:37:22
3.86,2016-04-15 06:37:38
3.86,2016-04-15 06:37:45
3.84,2016-04-15 06:37:52
3.84,2016-04-15 06:38:03
3.84,2016-04-15 06:38:15
3.79,2016-04-15 06:39:39
3.79,2016-04-15 06:39:43
3.77,2016-04-15 06:39:53
3.77,2016-04-15 06:39:57
3.77,2016-04-15 06:40:04
3.77,2016-04-15 06:40:14
3.72,2016-04-15 06:40:33
3.91,2016-04-15 06:41:10
3.91,2016-04-15 06:41:15
3.76,2016-04-15 06:41:46
3.76,2016-04-15 06:41:54
3.76,2016-04-15 06:42:08
3.76,2016-04-15 06:42:14
3.83,2016-04-15 06:42:46
4.04,2016-04-15 06:43:25
4.04,2016-04-15 06:43:37
3.99,2016-04-15 06:44:02
3.99,2016-04-15 06:44:08
4.06,2016-04-15 06:44:31
4.06,2016-04-15 06:44:38
4.06,2016-04-15 06:44:50
4.06,2016-04-15 06:44:57
4.01,2016-04-15 06:45:11
4.86,2016-04-15 06:45:58
4.86,2016-04-15 06:46:09
4.86,2016-04-15 06:46:14
4.86,2016-04-15 06:46:21
4.86,2016-04-15 06:46:33
4.84,2016-04-15 06:46:40
4.79,2016-04-15 06:47:00
4.79,2016-04-15 06:47:20
4.79,2016-04-15 06:47:28
4.79,2016-04-15 06:47:36
