chips,time
5.0,
4.95,2016-04-16 00:40:51
4.95,2016-04-16 00:40:58
4.95,2016-04-16 00:41:06
4.95,2016-04-16 00:41:12
4.95,2016-04-16 00:41:18
5.35,2016-04-16 00:42:08
5.33,2016-04-16 00:42:14
5.35,2016-04-16 00:43:00
5.35,2016-04-16 00:43:05
5.33,2016-04-16 00:43:14
5.33,2016-04-16 00:43:19
5.31,2016-04-16 00:43:25
5.29,2016-04-16 00:43:32
5.24,2016-04-16 00:43:46
5.24,2016-04-16 00:43:52
5.22,2016-04-16 00:44:01
5.22,2016-04-16 00:44:07
5.22,2016-04-16 00:44:19
5.17,2016-04-16 00:45:18
5.17,2016-04-16 00:45:24
5.17,2016-04-16 00:45:30
5.17,2016-04-16 00:45:35
5.17,2016-04-16 00:45:40
5.15,2016-04-16 00:45:45
5.15,2016-04-16 00:45:50
5.15,2016-04-16 00:45:55
5.1,2016-04-16 00:46:09
5.77,2016-04-16 00:47:16
5.77,2016-04-16 00:47:22
5.77,2016-04-16 00:47:27
5.77,2016-04-16 00:47:40
5.75,2016-04-16 00:47:46
5.77,2016-04-16 00:48:20
5.77,2016-04-16 00:48:26
5.69,2016-04-16 00:48:57
5.69,2016-04-16 00:49:04
5.67,2016-04-16 00:49:10
5.67,2016-04-16 00:49:16
5.69,2016-04-16 00:49:31
5.69,2016-04-16 00:49:41
5.69,2016-04-16 00:49:51
5.69,2016-04-16 00:50:05
5.69,2016-04-16 00:50:38
5.69,2016-04-16 00:50:43
5.71,2016-04-16 00:51:12
5.71,2016-04-16 00:51:17
5.71,2016-04-16 00:51:23
5.71,2016-04-16 00:51:30
6.13,2016-04-16 00:52:16
6.11,2016-04-16 00:52:35
6.18,2016-04-16 00:52:53
6.16,2016-04-16 00:52:59
6.18,2016-04-16 00:53:16
6.18,2016-04-16 00:53:21
6.16,2016-04-16 00:53:26
6.14,2016-04-16 00:53:36
6.12,2016-04-16 00:53:48
6.07,2016-04-16 00:54:05
6.07,2016-04-16 00:54:11
6.05,2016-04-16 00:54:16
6.05,2016-04-16 00:54:21
6.05,2016-04-16 00:54:27
6.03,2016-04-16 00:54:36
5.98,2016-04-16 00:55:01
5.98,2016-04-16 00:55:07
5.98,2016-04-16 00:55:12
6.03,2016-04-16 00:55:40
5.6,2016-04-16 00:57:06
5.6,2016-04-16 00:57:11
5.62,2016-04-16 00:57:33
5.27,2016-04-16 00:58:34
5.27,2016-04-16 00:58:39
5.27,2016-04-16 00:58:43
5.27,2016-04-16 00:58:48
5.34,2016-04-16 00:59:11
