chips,time
5.0,
4.95,2016-04-16 00:41:16
4.95,2016-04-16 00:41:24
4.93,2016-04-16 00:41:35
4.93,2016-04-16 00:41:41
4.93,2016-04-16 00:41:48
4.91,2016-04-16 00:42:02
4.91,2016-04-16 00:42:11
4.91,2016-04-16 00:42:16
4.93,2016-04-16 00:42:37
4.93,2016-04-16 00:42:45
4.93,2016-04-16 00:42:51
4.93,2016-04-16 00:42:58
4.93,2016-04-16 00:43:02
4.93,2016-04-16 00:43:08
5.81,2016-04-16 00:44:32
5.79,2016-04-16 00:45:00
5.79,2016-04-16 00:45:07
5.79,2016-04-16 00:45:17
5.77,2016-04-16 00:45:22
5.79,2016-04-16 00:45:46
5.79,2016-04-16 00:45:55
5.79,2016-04-16 00:46:06
5.86,2016-04-16 00:46:35
5.86,2016-04-16 00:46:47
5.86,2016-04-16 00:46:52
4.65,2016-04-16 00:48:11
4.6,2016-04-16 00:48:28
4.1,2016-04-16 00:49:07
4.17,2016-04-16 00:49:39
4.17,2016-04-16 00:49:44
4.15,2016-04-16 00:49:52
4.15,2016-04-16 00:49:57
4.67,2016-04-16 00:50:44
4.67,2016-04-16 00:50:49
4.65,2016-04-16 00:51:03
4.65,2016-04-16 00:51:07
4.63,2016-04-16 00:51:13
4.63,2016-04-16 00:51:21
4.61,2016-04-16 00:51:32
4.61,2016-04-16 00:51:40
4.88,2016-04-16 00:52:36
4.88,2016-04-16 00:52:49
4.86,2016-04-16 00:52:55
4.84,2016-04-16 00:53:01
4.82,2016-04-16 00:53:09
4.77,2016-04-16 00:53:24
4.27,2016-04-16 00:53:52
4.27,2016-04-16 00:53:57
4.27,2016-04-16 00:54:02
4.27,2016-04-16 00:54:07
4.7,2016-04-16 00:54:47
4.7,2016-04-16 00:54:55
4.7,2016-04-16 00:55:04
4.7,2016-04-16 00:55:10
4.7,2016-04-16 00:55:14
4.7,2016-04-16 00:55:20
4.65,2016-04-16 00:55:38
4.65,2016-04-16 00:55:43
4.65,2016-04-16 00:55:48
4.65,2016-04-16 00:55:53
4.65,2016-04-16 00:56:00
4.65,2016-04-16 00:56:07
4.63,2016-04-16 00:56:28
4.61,2016-04-16 00:56:36
4.56,2016-04-16 00:57:07
4.56,2016-04-16 00:57:14
4.56,2016-04-16 00:57:19
4.54,2016-04-16 00:57:24
4.54,2016-04-16 00:57:32
4.04,2016-04-16 00:58:32
4.04,2016-04-16 00:58:37
4.04,2016-04-16 00:58:52
4.02,2016-04-16 00:58:58
