chips,time
5.0,
4.9,2016-04-16 04:34:54
4.97,2016-04-16 04:35:12
4.97,2016-04-16 04:35:20
4.95,2016-04-16 04:35:26
5.16,2016-04-16 04:36:09
5.16,2016-04-16 04:36:20
4.98,2016-04-16 04:37:08
5.32,2016-04-16 04:37:47
5.32,2016-04-16 04:37:53
5.32,2016-04-16 04:38:01
5.32,2016-04-16 04:38:09
5.3,2016-04-16 04:38:26
5.3,2016-04-16 04:38:34
5.25,2016-04-16 04:38:46
5.25,2016-04-16 04:38:52
5.25,2016-04-16 04:38:59
5.23,2016-04-16 04:39:07
5.23,2016-04-16 04:39:12
5.23,2016-04-16 04:39:16
5.23,2016-04-16 04:39:24
5.03,2016-04-16 04:39:56
5.03,2016-04-16 04:40:01
5.03,2016-04-16 04:40:06
5.03,2016-04-16 04:40:13
5.03,2016-04-16 04:40:19
5.03,2016-04-16 04:40:30
4.03,2016-04-16 04:41:10
3.98,2016-04-16 04:41:40
3.98,2016-04-16 04:41:48
3.96,2016-04-16 04:42:03
3.96,2016-04-16 04:42:12
3.94,2016-04-16 04:42:18
3.94,2016-04-16 04:42:26
4.01,2016-04-16 04:43:08
4.01,2016-04-16 04:43:14
4.01,2016-04-16 04:43:22
4.01,2016-04-16 04:43:30
