chips,time
5.0,
4.95,2016-04-16 05:52:04
4.95,2016-04-16 05:52:15
4.95,2016-04-16 05:52:20
4.52,2016-04-16 05:53:08
4.5,2016-04-16 05:53:16
4.5,2016-04-16 05:53:22
4.45,2016-04-16 05:53:30
4.45,2016-04-16 05:53:35
4.43,2016-04-16 05:53:39
4.5,2016-04-16 05:54:02
4.5,2016-04-16 05:54:10
4.35,2016-04-16 05:54:52
4.65,2016-04-16 05:55:33
4.65,2016-04-16 05:55:39
4.65,2016-04-16 05:55:46
4.65,2016-04-16 05:55:53
4.6,2016-04-16 05:56:12
4.58,2016-04-16 05:56:19
4.56,2016-04-16 05:56:27
4.56,2016-04-16 05:56:33
4.56,2016-04-16 05:56:40
4.56,2016-04-16 05:56:46
4.58,2016-04-16 05:57:16
4.56,2016-04-16 05:57:36
4.56,2016-04-16 05:57:41
4.56,2016-04-16 05:57:47
4.36,2016-04-16 05:58:16
4.43,2016-04-16 05:58:44
4.38,2016-04-16 05:58:49
4.38,2016-04-16 05:58:55
4.38,2016-04-16 05:59:07
4.38,2016-04-16 05:59:17
