chips,time
5.0,
4.95,2016-04-15 06:50:05
4.95,2016-04-15 06:50:14
5.55,2016-04-15 06:51:06
5.55,2016-04-15 06:51:11
5.55,2016-04-15 06:51:24
6.32,2016-04-15 06:52:17
7.49,2016-04-15 06:53:08
7.49,2016-04-15 06:53:13
7.49,2016-04-15 06:53:21
7.96,2016-04-15 06:54:26
7.96,2016-04-15 06:54:34
7.98,2016-04-15 06:54:55
7.98,2016-04-15 06:55:01
7.98,2016-04-15 06:55:06
7.98,2016-04-15 06:55:16
7.98,2016-04-15 06:55:25
7.93,2016-04-15 06:55:58
7.93,2016-04-15 06:56:07
7.93,2016-04-15 06:56:14
7.93,2016-04-15 06:56:23
8.94,2016-04-15 06:57:39
8.94,2016-04-15 06:57:48
8.94,2016-04-15 06:58:01
8.89,2016-04-15 06:58:19
8.89,2016-04-15 06:58:27
8.87,2016-04-15 06:58:36
8.87,2016-04-15 06:58:45
8.87,2016-04-15 06:59:02
8.87,2016-04-15 06:59:08
8.82,2016-04-15 06:59:28
8.8,2016-04-15 06:59:41
8.8,2016-04-15 06:59:57
8.78,2016-04-15 07:00:09
8.85,2016-04-15 07:00:29
8.85,2016-04-15 07:00:38
8.8,2016-04-15 07:01:10
8.8,2016-04-15 07:01:22
8.6,2016-04-15 07:01:54
8.6,2016-04-15 07:02:14
8.58,2016-04-15 07:02:32
8.58,2016-04-15 07:02:37
8.74,2016-04-15 07:03:29
8.72,2016-04-15 07:03:36
8.72,2016-04-15 07:03:48
9.06,2016-04-15 07:05:02
10.92,2016-04-15 07:06:05
10.92,2016-04-15 07:06:17
10.87,2016-04-15 07:06:43
10.87,2016-04-15 07:06:48
10.87,2016-04-15 07:07:06
10.87,2016-04-15 07:07:19
10.85,2016-04-15 07:07:28
10.85,2016-04-15 07:07:37
10.85,2016-04-15 07:07:48
10.8,2016-04-15 07:08:11
11.43,2016-04-15 07:09:11
11.43,2016-04-15 07:09:18
11.43,2016-04-15 07:09:24
11.43,2016-04-15 07:09:39
11.43,2016-04-15 07:09:45
11.43,2016-04-15 07:09:55
11.43,2016-04-15 07:10:03
11.38,2016-04-15 07:10:23
11.36,2016-04-15 07:10:33
11.36,2016-04-15 07:10:44
11.36,2016-04-15 07:10:51
11.19,2016-04-15 07:11:34
