chips,time
5.0,
5.02,2016-04-16 01:56:45
5.02,2016-04-16 01:56:54
5.17,2016-04-16 01:57:16
5.15,2016-04-16 01:57:36
6.06,2016-04-16 01:58:15
6.01,2016-04-16 01:58:33
6.01,2016-04-16 01:58:38
6.01,2016-04-16 01:58:45
6.01,2016-04-16 01:58:52
6.06,2016-04-16 01:59:10
6.06,2016-04-16 01:59:16
6.01,2016-04-16 01:59:34
6.01,2016-04-16 01:59:39
5.43,2016-04-16 02:00:22
5.43,2016-04-16 02:00:27
5.43,2016-04-16 02:00:35
5.43,2016-04-16 02:00:43
5.41,2016-04-16 02:00:49
5.36,2016-04-16 02:01:12
5.36,2016-04-16 02:01:19
5.36,2016-04-16 02:01:34
5.36,2016-04-16 02:01:38
5.36,2016-04-16 02:01:42
5.36,2016-04-16 02:01:51
5.34,2016-04-16 02:01:56
5.57,2016-04-16 02:02:44
5.57,2016-04-16 02:02:49
5.57,2016-04-16 02:02:55
5.57,2016-04-16 02:03:01
5.57,2016-04-16 02:03:10
5.57,2016-04-16 02:03:18
5.52,2016-04-16 02:03:53
5.52,2016-04-16 02:03:59
5.5,2016-04-16 02:04:05
5.48,2016-04-16 02:04:12
5.43,2016-04-16 02:04:19
5.41,2016-04-16 02:04:24
5.41,2016-04-16 02:04:28
5.39,2016-04-16 02:04:41
5.39,2016-04-16 02:04:46
5.39,2016-04-16 02:04:51
5.39,2016-04-16 02:05:00
5.34,2016-04-16 02:05:17
10.6,2016-04-16 02:06:29
10.6,2016-04-16 02:06:37
10.6,2016-04-16 02:06:42
13.07,2016-04-16 02:07:41
13.07,2016-04-16 02:07:46
13.07,2016-04-16 02:07:50
13.02,2016-04-16 02:08:03
13.0,2016-04-16 02:08:08
12.83,2016-04-16 02:08:39
12.83,2016-04-16 02:08:44
13.42,2016-04-16 02:09:34
13.42,2016-04-16 02:09:40
13.27,2016-04-16 02:10:17
13.27,2016-04-16 02:10:30
13.25,2016-04-16 02:10:48
13.25,2016-04-16 02:10:57
13.25,2016-04-16 02:11:02
13.25,2016-04-16 02:11:09
13.2,2016-04-16 02:11:25
13.18,2016-04-16 02:11:36
13.18,2016-04-16 02:11:42
13.16,2016-04-16 02:11:56
13.16,2016-04-16 02:12:11
13.16,2016-04-16 02:12:16
13.11,2016-04-16 02:12:31
13.09,2016-04-16 02:12:35
13.07,2016-04-16 02:12:49
13.14,2016-04-16 02:13:10
13.12,2016-04-16 02:13:17
13.1,2016-04-16 02:13:25
13.12,2016-04-16 02:13:42
13.12,2016-04-16 02:13:56
11.67,2016-04-16 02:15:01
11.67,2016-04-16 02:15:09
11.67,2016-04-16 02:15:13
11.62,2016-04-16 02:16:16
11.62,2016-04-16 02:16:35
11.87,2016-04-16 02:17:30
11.87,2016-04-16 02:17:39
11.87,2016-04-16 02:17:45
11.87,2016-04-16 02:17:50
11.82,2016-04-16 02:18:05
11.82,2016-04-16 02:18:13
11.82,2016-04-16 02:18:18
11.82,2016-04-16 02:18:22
