chips
5.0
5.07
5.05
5.05
5.05
5.05
5.03
4.98
4.98
5.31
5.31
5.16
5.16
5.11
5.09
5.07
5.12
5.1
5.05
5.05
5.05
5.05
5.05
5.05
5.05
5.07
5.05
5.03
5.03
5.03
4.98
4.98
4.98
5.03
4.93
4.93
4.93
4.88
4.88
4.88
4.88
4.88
4.86
4.86
4.81
4.81
4.81
4.81
4.79
4.79
4.77
4.77
4.77
4.72
4.72
4.72
4.72
4.72
4.9
4.9
4.9
4.88
4.88
4.88
4.88
4.9
4.9
4.9
4.9
4.9
4.88
4.83
4.83
4.68
4.75
4.75
4.73
4.71
0.99
0.97
0.97
0.97
0.97
5.0
5.12
5.07
5.07
5.07
5.07
5.05
5.26
5.21
5.32
5.32
5.39
5.39
4.81
4.76
4.76
4.76
4.76
4.71
4.71
4.69
5.13
5.13
9.96
9.91
9.89
9.89
9.87
9.87
9.87
9.82
9.8
9.8
9.8
9.8
10.59
10.59
10.54
10.52
10.52
10.5
10.48
10.48
10.48
