chips,time
5.0,
5.17,2016-04-16 01:04:38
5.17,2016-04-16 01:04:48
5.17,2016-04-16 01:05:06
5.12,2016-04-16 01:05:26
5.12,2016-04-16 01:05:32
5.12,2016-04-16 01:05:44
5.12,2016-04-16 01:05:54
5.12,2016-04-16 01:06:01
5.1,2016-04-16 01:06:05
5.1,2016-04-16 01:06:11
5.05,2016-04-16 01:06:35
5.03,2016-04-16 01:06:40
5.03,2016-04-16 01:06:45
5.01,2016-04-16 01:06:51
4.84,2016-04-16 01:07:23
4.84,2016-04-16 01:07:28
4.86,2016-04-16 01:07:44
4.86,2016-04-16 01:07:52
4.86,2016-04-16 01:07:58
4.86,2016-04-16 01:08:04
4.86,2016-04-16 01:08:10
4.86,2016-04-16 01:08:18
4.81,2016-04-16 01:08:27
4.81,2016-04-16 01:08:33
4.81,2016-04-16 01:08:47
4.81,2016-04-16 01:09:07
4.81,2016-04-16 01:09:22
4.81,2016-04-16 01:09:30
4.79,2016-04-16 01:09:37
4.74,2016-04-16 01:09:56
4.74,2016-04-16 01:10:05
4.72,2016-04-16 01:10:15
4.72,2016-04-16 01:10:21
4.72,2016-04-16 01:10:25
4.72,2016-04-16 01:10:31
4.55,2016-04-16 01:11:09
4.55,2016-04-16 01:11:25
4.55,2016-04-16 01:11:33
4.55,2016-04-16 01:11:39
4.55,2016-04-16 01:11:45
4.5,2016-04-16 01:12:10
4.35,2016-04-16 01:12:32
4.35,2016-04-16 01:12:41
4.35,2016-04-16 01:12:47
4.82,2016-04-16 01:13:23
4.77,2016-04-16 01:13:41
4.75,2016-04-16 01:13:59
4.75,2016-04-16 01:14:04
4.75,2016-04-16 01:14:11
4.75,2016-04-16 01:14:22
4.75,2016-04-16 01:14:26
4.82,2016-04-16 01:14:49
4.84,2016-04-16 01:15:02
5.68,2016-04-16 01:16:06
5.68,2016-04-16 01:16:16
5.66,2016-04-16 01:16:25
5.66,2016-04-16 01:16:30
5.68,2016-04-16 01:16:53
5.68,2016-04-16 01:16:59
5.68,2016-04-16 01:17:12
5.68,2016-04-16 01:17:24
5.68,2016-04-16 01:17:28
5.66,2016-04-16 01:17:33
5.66,2016-04-16 01:17:41
5.61,2016-04-16 01:18:00
5.59,2016-04-16 01:18:05
5.59,2016-04-16 01:18:10
5.59,2016-04-16 01:18:16
5.8,2016-04-16 01:18:55
5.8,2016-04-16 01:19:05
