chips,time
5.0,
4.95,2016-04-16 04:32:12
4.95,2016-04-16 04:32:21
5.32,2016-04-16 04:33:33
5.17,2016-04-16 04:34:09
5.17,2016-04-16 04:34:31
5.02,2016-04-16 04:35:34
4.97,2016-04-16 04:36:00
4.97,2016-04-16 04:36:05
4.97,2016-04-16 04:36:12
4.97,2016-04-16 04:36:23
4.97,2016-04-16 04:36:27
4.97,2016-04-16 04:36:34
4.92,2016-04-16 04:37:12
4.92,2016-04-16 04:37:26
4.9,2016-04-16 04:37:43
4.9,2016-04-16 04:37:51
5.18,2016-04-16 04:38:28
5.16,2016-04-16 04:38:36
5.11,2016-04-16 04:38:54
5.39,2016-04-16 04:39:40
5.39,2016-04-16 04:39:49
5.37,2016-04-16 04:39:59
2.87,2016-04-16 04:40:35
2.77,2016-04-16 04:41:22
2.72,2016-04-16 04:41:35
2.7,2016-04-16 04:41:42
2.7,2016-04-16 04:41:59
3.0,2016-04-16 04:42:39
3.0,2016-04-16 04:42:47
2.95,2016-04-16 04:43:18
