chips,time
5.0,
4.95,2016-04-16 01:12:39
4.93,2016-04-16 01:12:44
4.93,2016-04-16 01:12:49
4.93,2016-04-16 01:12:59
2.74,2016-04-16 01:14:06
2.74,2016-04-16 01:14:14
2.72,2016-04-16 01:14:31
2.79,2016-04-16 01:15:07
2.79,2016-04-16 01:15:14
2.79,2016-04-16 01:15:30
2.79,2016-04-16 01:15:43
2.74,2016-04-16 01:16:06
2.74,2016-04-16 01:16:12
2.74,2016-04-16 01:16:21
2.74,2016-04-16 01:16:37
5.0,2016-04-16 01:16:44
5.0,2016-04-16 01:16:49
5.0,2016-04-16 01:16:53
5.0,2016-04-16 01:17:03
4.84,2016-04-16 01:17:39
4.84,2016-04-16 01:17:44
4.84,2016-04-16 01:17:48
4.82,2016-04-16 01:17:53
4.82,2016-04-16 01:17:58
4.77,2016-04-16 01:18:24
5.02,2016-04-16 01:19:11
