chips,time
5,
5.07,2016-4-16 1:21
5.07,2016-4-16 1:21
5.07,2016-4-16 1:21
5.07,2016-4-16 1:22
5.05,2016-4-16 1:22
5.03,2016-4-16 1:22
4.98,2016-4-16 1:22
5.46,2016-4-16 1:23
5.44,2016-4-16 1:23
5.46,2016-4-16 1:24
5.46,2016-4-16 1:24
5.46,2016-4-16 1:24
5.44,2016-4-16 1:24
5.42,2016-4-16 1:24
5.42,2016-4-16 1:24
5.42,2016-4-16 1:24
5.37,2016-4-16 1:25
5.37,2016-4-16 1:25
5.56,2016-4-16 1:25
5.56,2016-4-16 1:25
5.56,2016-4-16 1:25
5.56,2016-4-16 1:25
5.51,2016-4-16 1:26
5.51,2016-4-16 1:26
5.51,2016-4-16 1:26
5.51,2016-4-16 1:26
5.83,2016-4-16 1:27
5.81,2016-4-16 1:27
5.81,2016-4-16 1:27
5.83,2016-4-16 1:27
5.83,2016-4-16 1:27
5.83,2016-4-16 1:27
5.83,2016-4-16 1:28
6.11,2016-4-16 1:28
6.06,2016-4-16 1:29
6.06,2016-4-16 1:29
6.06,2016-4-16 1:29
5.86,2016-4-16 1:30
5.84,2016-4-16 1:30
5.84,2016-4-16 1:30
5.84,2016-4-16 1:30
3.44,2016-4-16 1:31
3.39,2016-4-16 1:31
3.39,2016-4-16 1:32
3.37,2016-4-16 1:32
3.37,2016-4-16 1:32
3.62,2016-4-16 1:32
3.6,2016-4-16 1:32
3.6,2016-4-16 1:32
3.62,2016-4-16 1:33
3.62,2016-4-16 1:33
3.6,2016-4-16 1:33
3.6,2016-4-16 1:33
3.58,2016-4-16 1:33
3.58,2016-4-16 1:33
3.8,2016-4-16 1:34
3.75,2016-4-16 1:34
3.75,2016-4-16 1:34
3.75,2016-4-16 1:34
3.82,2016-4-16 1:35
3.82,2016-4-16 1:35
3.8,2016-4-16 1:35
3.82,2016-4-16 1:35
3.82,2016-4-16 1:35
3.8,2016-4-16 1:36
3.8,2016-4-16 1:36
