chips,time
5.0,
4.95,2016-04-16 01:21:04
4.93,2016-04-16 01:21:10
4.93,2016-04-16 01:21:14
4.93,2016-04-16 01:21:22
4.93,2016-04-16 01:21:32
4.76,2016-04-16 01:22:32
4.41,2016-04-16 01:23:39
4.41,2016-04-16 01:23:52
4.48,2016-04-16 01:24:16
4.48,2016-04-16 01:24:23
4.48,2016-04-16 01:24:30
4.48,2016-04-16 01:24:36
4.5,2016-04-16 01:24:52
5.14,2016-04-16 01:25:51
5.12,2016-04-16 01:25:56
5.17,2016-04-16 01:26:18
5.17,2016-04-16 01:26:23
5.17,2016-04-16 01:26:27
5.12,2016-04-16 01:26:35
5.1,2016-04-16 01:26:41
5.08,2016-04-16 01:26:53
5.08,2016-04-16 01:27:07
5.08,2016-04-16 01:27:14
5.06,2016-04-16 01:27:26
5.06,2016-04-16 01:27:33
5.01,2016-04-16 01:28:04
5.01,2016-04-16 01:28:13
5.01,2016-04-16 01:28:23
