chips
5.0
4.95
4.95
4.95
4.95
4.95
5.02
4.97
4.95
4.95
4.93
4.93
4.93
4.93
5.34
5.5
5.48
5.48
5.48
5.46
5.31
5.31
5.31
5.18
5.18
5.18
5.46
5.68
5.66
5.61
5.59
7.02
7.02
7.02
7.0
7.0
7.0
7.02
7.02
7.0
7.0
7.0
7.0
6.98
6.93
6.93
6.93
6.91
6.86
6.86
6.86
6.93
6.91
6.91
7.11
7.49
7.49
7.47
7.45
7.4
7.38
7.38
7.38
7.38
7.38
7.38
7.33
7.31
7.31
7.31
7.31
7.31
7.33
7.33
7.33
7.33
7.33
7.31
7.31
7.38
7.59
7.59
7.59
12.5
12.5
12.48
12.48
12.8
12.78
12.78
12.73
12.73
12.71
12.69
12.64
12.64
12.64
12.64
12.64
12.62
12.62
12.57
12.57
12.57
12.57
12.57
12.57
12.57
12.47
12.47
12.47
12.47
12.47
12.45
12.45
12.08
12.08
12.06
12.06
12.04
11.99
11.84
11.84
11.84
11.84
11.84
11.84
11.79
11.79
11.77
11.77
11.77
11.77
12.38
12.33
12.33
12.33
12.52
12.52
12.47
12.47
12.45
12.45
12.45
9.97
9.97
9.92
9.92
9.9
8.98
8.98
8.98
3.89
3.89
3.87
3.94
3.94
3.94
3.94
3.16
3.16
3.55
3.62
3.57
3.55
3.55
3.53
3.36
3.41
3.41
3.41
3.41
3.41
3.39
3.44
3.44
3.44
3.44
3.39
3.37
3.37
3.37
2.77
2.77
5.03
5.03
5.01
5.08
5.1
5.1
5.08
5.08
5.08
5.06
5.06
5.08
5.15
5.15
5.15
6.25
6.25
6.2
6.2
6.18
6.16
6.16
6.16
5.96
5.91
5.91
5.91
7.35
7.35
7.25
7.14
7.14
7.14
4.94
5.33
5.33
5.33
5.43
5.43
5.43
5.43
6.77
6.77
6.72
6.72
6.72
6.72
6.72
5.35
5.37
5.37
5.44
5.44
5.44
5.44
5.44
5.44
5.39
5.39
5.39
5.39
5.39
5.39
5.34
5.32
5.39
5.37
5.35
5.33
