chips,time
5.0,
4.55,2016-04-16 01:35:59
4.55,2016-04-16 01:36:06
4.62,2016-04-16 01:36:26
4.69,2016-04-16 01:36:48
4.69,2016-04-16 01:36:59
4.64,2016-04-16 01:37:18
4.64,2016-04-16 01:37:30
4.78,2016-04-16 01:38:09
5.48,2016-04-16 01:38:55
5.46,2016-04-16 01:39:00
5.46,2016-04-16 01:39:06
5.46,2016-04-16 01:39:14
5.44,2016-04-16 01:39:31
4.71,2016-04-16 01:40:10
4.71,2016-04-16 01:40:18
4.69,2016-04-16 01:40:30
4.69,2016-04-16 01:40:38
4.69,2016-04-16 01:40:44
4.69,2016-04-16 01:40:58
4.69,2016-04-16 01:41:04
4.71,2016-04-16 01:41:19
4.56,2016-04-16 01:42:12
4.56,2016-04-16 01:42:17
4.77,2016-04-16 01:43:28
4.77,2016-04-16 01:43:34
4.72,2016-04-16 01:44:47
4.72,2016-04-16 01:44:53
4.72,2016-04-16 01:45:00
4.72,2016-04-16 01:45:13
4.72,2016-04-16 01:45:23
4.72,2016-04-16 01:45:36
4.67,2016-04-16 01:45:56
4.67,2016-04-16 01:46:01
4.67,2016-04-16 01:46:06
4.67,2016-04-16 01:46:45
4.62,2016-04-16 01:46:57
4.6,2016-04-16 01:47:04
4.58,2016-04-16 01:47:11
4.56,2016-04-16 01:47:16
4.56,2016-04-16 01:47:22
4.56,2016-04-16 01:47:31
4.51,2016-04-16 01:47:48
4.51,2016-04-16 01:47:56
4.51,2016-04-16 01:48:03
4.51,2016-04-16 01:48:09
4.51,2016-04-16 01:48:14
4.62,2016-04-16 01:48:43
4.62,2016-04-16 01:48:59
4.62,2016-04-16 01:49:12
4.6,2016-04-16 01:49:18
4.58,2016-04-16 01:49:27
4.56,2016-04-16 01:49:33
5.07,2016-04-16 01:50:29
5.07,2016-04-16 01:50:36
5.07,2016-04-16 01:50:45
5.42,2016-04-16 01:51:42
5.4,2016-04-16 01:51:48
5.4,2016-04-16 01:51:54
5.4,2016-04-16 01:52:04
5.42,2016-04-16 01:52:19
5.49,2016-04-16 01:52:45
5.49,2016-04-16 01:52:52
5.49,2016-04-16 01:53:01
5.39,2016-04-16 01:53:37
5.39,2016-04-16 01:53:43
5.39,2016-04-16 01:53:51
5.39,2016-04-16 01:53:57
5.39,2016-04-16 01:54:06
