chips,time
5.0,
4.95,2016-04-16 04:57:36
5.02,2016-04-16 04:57:54
5.0,2016-04-16 04:58:06
5.0,2016-04-16 04:58:11
5.0,2016-04-16 04:58:16
5.0,2016-04-16 04:58:21
5.0,2016-04-16 04:58:27
5.07,2016-04-16 04:58:49
5.02,2016-04-16 04:59:17
4.82,2016-04-16 04:59:58
1.33,2016-04-16 05:01:05
1.33,2016-04-16 05:01:10
1.33,2016-04-16 05:01:19
1.33,2016-04-16 05:01:24
1.4,2016-04-16 05:01:57
1.4,2016-04-16 05:02:07
1.4,2016-04-16 05:02:12
1.4,2016-04-16 05:02:19
1.4,2016-04-16 05:02:26
1.4,2016-04-16 05:02:31
1.4,2016-04-16 05:02:36
1.38,2016-04-16 05:02:57
1.33,2016-04-16 05:03:38
1.31,2016-04-16 05:03:47
1.31,2016-04-16 05:03:52
1.31,2016-04-16 05:03:57
1.29,2016-04-16 05:04:29
5.0,2016-04-16 05:05:10
4.95,2016-04-16 05:05:29
4.95,2016-04-16 05:05:36
4.93,2016-04-16 05:05:42
4.93,2016-04-16 05:05:57
4.93,2016-04-16 05:06:02
4.93,2016-04-16 05:06:08
4.91,2016-04-16 05:06:21
4.86,2016-04-16 05:06:35
4.86,2016-04-16 05:06:41
4.86,2016-04-16 05:06:47
4.86,2016-04-16 05:07:02
4.86,2016-04-16 05:07:06
4.81,2016-04-16 05:07:55
4.81,2016-04-16 05:08:04
4.79,2016-04-16 05:08:12
4.79,2016-04-16 05:08:18
4.69,2016-04-16 05:08:51
4.69,2016-04-16 05:08:56
4.64,2016-04-16 05:09:25
4.71,2016-04-16 05:09:50
4.71,2016-04-16 05:09:54
4.71,2016-04-16 05:10:04
4.69,2016-04-16 05:10:12
4.69,2016-04-16 05:10:18
7.27,2016-04-16 05:11:06
7.36,2016-04-16 05:11:40
7.36,2016-04-16 05:11:51
7.1,2016-04-16 05:12:43
7.1,2016-04-16 05:12:49
7.08,2016-04-16 05:12:58
7.08,2016-04-16 05:13:16
7.19,2016-04-16 05:13:58
7.19,2016-04-16 05:14:03
11.61,2016-04-16 05:15:18
11.61,2016-04-16 05:15:24
11.61,2016-04-16 05:15:35
11.56,2016-04-16 05:15:50
11.56,2016-04-16 05:16:03
11.56,2016-04-16 05:16:10
11.56,2016-04-16 05:16:15
11.56,2016-04-16 05:16:20
11.58,2016-04-16 05:16:33
