chips,time
5.0,
5.02,2016-04-16 07:59:25
4.49,2016-04-16 08:00:41
4.49,2016-04-16 08:00:54
4.49,2016-04-16 08:00:59
4.49,2016-04-16 08:01:05
4.49,2016-04-16 08:01:15
4.24,2016-04-16 08:02:18
4.24,2016-04-16 08:02:24
4.4,2016-04-16 08:03:09
4.4,2016-04-16 08:03:21
4.4,2016-04-16 08:03:43
4.4,2016-04-16 08:03:52
4.59,2016-04-16 08:04:47
4.09,2016-04-16 08:05:29
4.07,2016-04-16 08:06:01
4.05,2016-04-16 08:06:06
4.03,2016-04-16 08:06:11
4.03,2016-04-16 08:06:32
3.98,2016-04-16 08:06:51
5.42,2016-04-16 08:07:32
5.42,2016-04-16 08:07:44
5.4,2016-04-16 08:07:54
5.47,2016-04-16 08:08:14
4.75,2016-04-16 08:09:06
4.0,2016-04-16 08:10:22
4.0,2016-04-16 08:10:28
4.0,2016-04-16 08:10:36
4.0,2016-04-16 08:10:41
4.0,2016-04-16 08:10:45
4.0,2016-04-16 08:10:51
4.0,2016-04-16 08:11:03
3.88,2016-04-16 08:12:02
3.88,2016-04-16 08:12:30
3.88,2016-04-16 08:12:38
3.88,2016-04-16 08:12:51
7.4,2016-04-16 08:13:35
7.4,2016-04-16 08:13:46
7.4,2016-04-16 08:13:51
7.38,2016-04-16 08:13:58
7.18,2016-04-16 08:14:36
7.16,2016-04-16 08:14:45
7.16,2016-04-16 08:14:51
7.16,2016-04-16 08:15:03
7.16,2016-04-16 08:15:08
7.16,2016-04-16 08:15:22
7.16,2016-04-16 08:17:41
7.11,2016-04-16 08:18:00
7.09,2016-04-16 08:18:13
7.09,2016-04-16 08:18:19
7.09,2016-04-16 08:18:24
7.07,2016-04-16 08:18:37
7.07,2016-04-16 08:18:48
7.07,2016-04-16 08:19:05
7.69,2016-04-16 08:19:49
7.69,2016-04-16 08:20:00
7.69,2016-04-16 08:20:08
7.69,2016-04-16 08:20:21
7.69,2016-04-16 08:20:33
7.69,2016-04-16 08:20:42
7.76,2016-04-16 08:21:27
7.76,2016-04-16 08:21:38
8.11,2016-04-16 08:22:27
8.11,2016-04-16 08:22:40
8.11,2016-04-16 08:22:49
8.11,2016-04-16 08:22:57
8.06,2016-04-16 08:23:40
8.04,2016-04-16 08:23:45
8.04,2016-04-16 08:23:50
8.04,2016-04-16 08:23:56
8.04,2016-04-16 08:24:03
7.89,2016-04-16 08:24:45
8.64,2016-04-16 08:25:48
8.58,2016-04-16 08:26:36
8.53,2016-04-16 08:26:47
8.53,2016-04-16 08:26:54
9.58,2016-04-16 08:27:47
11.04,2016-04-16 08:28:47
11.04,2016-04-16 08:28:54
11.04,2016-04-16 08:29:03
11.04,2016-04-16 08:29:09
10.99,2016-04-16 08:29:25
10.97,2016-04-16 08:29:30
10.95,2016-04-16 08:29:36
10.95,2016-04-16 08:29:50
10.85,2016-04-16 08:30:29
10.8,2016-04-16 08:30:42
10.8,2016-04-16 08:30:49
10.96,2016-04-16 08:31:30
10.96,2016-04-16 08:31:35
11.03,2016-04-16 08:31:55
10.98,2016-04-16 08:32:08
10.98,2016-04-16 08:32:15
10.98,2016-04-16 08:32:19
10.96,2016-04-16 08:32:31
10.96,2016-04-16 08:32:39
10.94,2016-04-16 08:32:44
10.89,2016-04-16 08:33:01
10.89,2016-04-16 08:33:10
10.74,2016-04-16 08:33:33
10.74,2016-04-16 08:33:38
10.74,2016-04-16 08:33:45
10.74,2016-04-16 08:33:54
10.72,2016-04-16 08:34:03
9.56,2016-04-16 08:35:10
9.19,2016-04-16 08:35:59
9.19,2016-04-16 08:36:09
9.19,2016-04-16 08:36:25
9.19,2016-04-16 08:36:35
9.14,2016-04-16 08:37:17
9.14,2016-04-16 08:37:25
9.14,2016-04-16 08:37:29
9.14,2016-04-16 08:37:44
9.14,2016-04-16 08:37:52
9.14,2016-04-16 08:38:01
9.14,2016-04-16 08:38:16
9.14,2016-04-16 08:38:21
9.3,2016-04-16 08:39:15
9.3,2016-04-16 08:39:24
9.3,2016-04-16 08:39:31
9.3,2016-04-16 08:39:39
9.3,2016-04-16 08:39:53
9.3,2016-04-16 08:40:04
9.25,2016-04-16 08:40:24
9.25,2016-04-16 08:40:32
9.89,2016-04-16 08:41:24
9.89,2016-04-16 08:41:35
9.89,2016-04-16 08:41:46
9.89,2016-04-16 08:41:51
